,weights,untuned,0,hypo-0.001-13b,hypo-0.0005,hypo-0.0001,anti-0.001-13b,anti-0.01,untuned-13b,anti-0.0005,anti-0.0001,0-13b,hypo-0.001,anti-0.001-3ep,hypo-0.01
0,"(1, 0, 0, 0)",0.2843336647268969,0.3581656937713571,0.35281946605542447,0.351847146704609,0.3534170639561033,0.3578652577155944,0.361095934997152,0.2841781835144403,0.3541257115506248,0.3575953919543339,0.36039406622818254,0.35576852276653476,0.3569777788049319,0.35474121216268617
1,"(0, 1, 0, 0)",0.07448793518663338,0.12257555908505974,0.12095308608736621,0.11925855254191085,0.12055482360657963,0.12291515797756783,0.12379627085148309,0.07705975808683986,0.11945619404610427,0.1213128038897893,0.1242167004616742,0.11995670255796732,0.12062421899973848,0.12027556458042943
2,"(0, 0, 1, 0)",0.018538749989734617,0.04632896186971911,0.045379412279068713,0.04378373746894011,0.04533459215360641,0.047020361342127906,0.04712719401439932,0.020080466178382123,0.04363768441807772,0.04580259350052697,0.04775897533403627,0.04496094712533021,0.045248842321904674,0.044844498297847785
3,"(0, 0, 0, 1)",0.005824064148274565,0.021663889996949577,0.02114186497804106,0.020098596890405766,0.02110947752612942,0.0222527361576673,0.022362931621149808,0.006460143556544497,0.019990952745493774,0.02148622842883419,0.022546019381462418,0.0207281363122824,0.020945949920298332,0.02081991096252184
4,"(0.25, 0.25, 0.25, 0.25)",0.03888706839713468,0.08147403395246275,0.07999132920989224,0.0779525873503014,0.0799088399489341,0.08236611667238095,0.08284811279517178,0.041054293592846514,0.07794088466326801,0.08083272191556314,0.08332409863209053,0.07941397534911904,0.07992742242487423,0.07944549436369376
